UniqueCount	AmbigCount
90507	0
4208	0
84555	0
27345	0
29930	0
27183	0
112874	0
42170	0
44209	0
51333	0
656	0
57721	0
62910	0
42820	0
26705	0
69059	0
87485	0
30598	0
39544	0
52501	0
31275	0
58629	0
26490	0
70088	0
29877	0
21006	0
66927	0
104214	0
37820	0
82417	0
119243	0
67419	0
2113	0
39558	0
60065	0
67701	0
13329	0
62784	0
61654	0
25013	0
96669	0
21983	0
74213	0
27071	0
57518	0
87691	0
95095	0
8803	0
9469	0
50826	0
75704	0
24779	0
48835	0
63715	0
14369	0
64461	0
20728	0
85968	0
136494	0
24382	0
61989	0
31045	0
5487	0
36231	0
20145	0
88808	0
50430	0
56685	0
17917	0
37234	0
34729	0
30689	0
22263	0
53614	0
52846	0
24515	0
35126	0
46339	0
14090	0
60285	0
123996	0
29527	0
53942	0
4016	0
26498	0
56063	0
85333	0
41165	0
53926	0
81448	0
84130	0
11538	0
389371	0
13519	0
30454	0
14501	0
50831	0
47339	0
48476	0
68726	0
54427	0
52286	0
17008	0
43547	0
57293	0
33942	0
145513	0
31831	0
20539	0
39041	0
20693	0
68998	0
71454	0
44051	0
69734	0
22433	0
41061	0
29547	0
14126	0
58036	0
24825	0
33297	0
70170	0
76337	0
62056	0
34763	0
81418	0
51180	0
52948	0
135715	0
38889	0
128380	0
149428	0
55264	0
75338	0
126962	0
18770	0
38143	0
9827	0
26594	0
57610	0
22174	0
79034	0
29593	0
70180	0
43769	0
73861	0
98962	0
20387	0
53845	0
4658	0
156046	0
23412	0
40605	0
77415	0
83510	0
9193	0
25273	0
35732	0
158757	0
69282	0
18148	0
165060	0
27105	0
58177	0
11130	0
54722	0
77117	0
8789	0
35	0
86396	0
53287	0
258017	0
107360	0
41418	0
63653	0
60339	0
193202	0
16076	0
93949	0
28422	0
32946	0
46677	0
51044	0
39054	0
24696	0
33179	0
54208	0
35459	0
54269	0
61662	0
29569	0
42268	0
31664	0
133321	0
13997	0
4856	0
33267	0
57228	0
28552	0
16583	0
13777	0
37494	0
1251	0
21065	0
50602	0
29568	0
35874	0
25563	0
122026	0
30836	0
155185	0
2892	0
46048	0
144214	0
76729	0
5630	0
41066	0
26025	0
7259	0
90859	0
123428	0
15588	0
64077	0
43946	0
33240	0
36288	0
29208	0
86034	0
10071	0
8459	0
58612	0
64825	0
32932	0
54130	0
62640	0
33541	0
73275	0
23306	0
80328	0
65661	0
4224	0
55709	0
35228	0
32227	0
17873	0
12379	0
26287	0
37314	0
35026	0
42786	0
30450	0
37436	0
26715	0
59048	0
6290	0
63557	0
52157	0
14524	0
8775	0
64772	0
41308	0
97712	0
16617	0
73654	0
36750	0
33131	0
51389	0
138551	0
113518	0
89728	0
